上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:105/06/17
產業類別:全部
股票代號,名稱,本益比,每股股利,殖利率(%),股價淨值比
"4549","桓達","18.21","3.00","4.05","2.23"
"4550","長佳","13.05","1.30","6.07","1.05"
"4556","旭然","41.98","0.75","2.21","1.93"
"4609","唐鋒","282.33","0.00","0.00","0.89"
"4702","中美實","N/A","0.00","0.00","0.65"
"4706","大恭","11.66","0.90","4.74","1.09"
"4707","磐亞","10.66","0.60","7.31","0.51"
"4711","永純","14.54","0.70","4.91","0.77"
"4712","南璋","N/A","0.00","0.00","1.32"
"4714","永捷","49.22","0.50","5.64","0.66"
"4716","大立","19.04","0.50","5.15","0.80"
"4721","美琪瑪","21.64","1.40","3.59","2.58"
"4726","永昕","N/A","0.00","0.00","4.03"
"4728","雙美","N/A","0.00","0.00","4.37"
"4729","熒茂","9.67","0.00","0.00","0.86"
"4735","豪展","13.61","1.00","3.34","2.25"
"4736","泰博","18.29","5.00","3.37","3.52"
"4739","康普","19.41","1.60","3.23","1.64"
"4743","合一","N/A","0.00","0.00","2.22"
"4745","F-合富","12.43","2.60","3.94","2.17"
"4747","強生","17.73","1.75","4.39","1.42"
"4762","F-三汰","14.78","2.80","4.19","2.30"
"4803","F-VHQ","34.71","1.00","0.60","5.17"
"4804","F-大略","23.22","4.00","3.32","4.76"
"4806","昇華","39.24","1.50","1.81","1.87"
"4903","聯光通","87.06","0.16","1.08","1.38"
"4905","台聯電","11.91","1.00","1.98","0.57"
"4907","富宇","6.22","0.00","0.00","1.34"
"4908","前鼎","18.05","0.40","2.33","1.09"
"4909","新復興","8.38","1.30","5.54","0.82"
"4911","德英","N/A","0.00","0.00","8.11"
"4924","F-欣厚","N/A","0.00","0.00","0.59"
"4933","友輝","8.75","1.25","6.16","0.54"
"4939","亞電","N/A","0.00","0.00","0.54"
"4944","兆遠","N/A","0.00","0.00","0.51"
"4946","辣椒","N/A","0.00","0.00","2.84"
"4947","F-昂寶","15.91","8.00","3.70","3.39"
"4950","牧東","9.74","0.50","3.33","0.64"
"4953","緯軟","500.00","1.00","5.00","0.87"
